task_id,criticality,local_pu_execution_time,remote_pu_execution_time,offload_time,deadline,vehicle_pu_queue,remote_pu_queue,task_flop,pu_flops,task_size,task_location_lat,task_location_long,pu_location_lat,pu_location_long,execution_start_time,execution_end_time,state,
1,1,0.013600645804636364,0.013600645804636364,0.0029596,0.013700672808286,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.00010002700364963505,0.013700699811935635,FAILED,
2,1,0.013600645804636364,0.013600645804636364,0.0029596,0.04703400614161934,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.03340072681558523,0.04700139962387123,SUCCESS,
3,1,0.013600645804636364,0.013600645804636364,0.0029596,0.08036733947495267,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.06670142662752143,0.08030209943580742,SUCCESS,
4,1,0.013600645804636364,0.013600645804636364,0.0029596,0.11370067280828601,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.10000212643945762,0.11360279924774361,SUCCESS,
5,1,0.013600645804636364,0.013600645804636364,0.0029596,0.14703400614161932,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.13340282625139263,0.14700349905967863,SUCCESS,
6,1,0.013600645804636364,0.013600645804636364,0.0029596,0.18036733947495265,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.16670352606332609,0.1803041988716121,SUCCESS,
7,1,0.013600645804636364,0.013600645804636364,0.0029596,0.21370067280828597,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.20010422587525953,0.21370489868354553,FAILED,
8,1,0.013600645804636364,0.013600645804636364,0.0029596,0.2470340061416193,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.23340492568719298,0.24700559849547898,SUCCESS,
9,1,0.013600645804636364,0.013600645804636364,0.0029596,0.2803673394749526,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.26670562549912646,0.2803062983074125,SUCCESS,
10,1,0.013600645804636364,0.013600645804636364,0.0029596,0.31370067280828595,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.30010632531105996,0.313706998119346,FAILED,
11,1,0.013600645804636364,0.013600645804636364,0.0029596,0.3470340061416193,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.3334070251229935,0.3470076979312795,SUCCESS,
12,1,0.013600645804636364,0.013600645804636364,0.0029596,0.3803673394749526,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.366707724934927,0.380308397743213,SUCCESS,
13,1,0.013600645804636364,0.013600645804636364,0.0029596,0.41370067280828593,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.4001084247468605,0.4137090975551465,FAILED,
14,1,0.013600645804636364,0.013600645804636364,0.0029596,0.44703400614161926,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.433409124558794,0.44700979736708,SUCCESS,
15,1,0.013600645804636364,0.013600645804636364,0.0029596,0.4803673394749526,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.4667098243707275,0.48031049717901353,SUCCESS,
16,1,0.013600645804636364,0.013600645804636364,0.0029596,0.5137006728082859,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.500110524182661,0.513711196990947,FAILED,
17,1,0.013600645804636364,0.013600645804636364,0.0029596,0.5470340061416193,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.5334112239945945,0.5470118968028805,SUCCESS,
18,1,0.013600645804636364,0.013600645804636364,0.0029596,0.5803673394749527,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.566711923806528,0.580312596614814,SUCCESS,
19,1,0.013600645804636364,0.013600645804636364,0.0029596,0.613700672808286,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.6001126236184615,0.6137132964267475,FAILED,
20,1,0.013600645804636364,0.013600645804636364,0.0029596,0.6470340061416193,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.633413323430395,0.647013996238681,SUCCESS,
21,1,0.013600645804636364,0.013600645804636364,0.0029596,0.6803673394749526,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.6667140232423285,0.6803146960506146,SUCCESS,
22,1,0.013600645804636364,0.013600645804636364,0.0029596,0.713700672808286,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.700114723054262,0.7137153958625481,FAILED,
23,1,0.013600645804636364,0.013600645804636364,0.0029596,0.7470340061416193,1,1,149607103851,11000000000000,3699.5,50.6372986296272,3.0814637193269947,50.6372986296272,3.0814637193269947,0.7334154228661955,0.7470160956744816,SUCCESS,
