#Task,Vehicle,Fog,Cloud
Large,24332.9363905707,23898.4196693102,11598.6996795073
Big,6211.68695188795,6100.76397061526,2960.9041137408
Medium,697.926351575015,685.463381004888,332.678227576583
Slight,12216.5232904982,11998.3710888935,5823.20943513943
Small,3.88675649981374,3.81735012750058,1.85268726571478
