#Task,Vehicle,Fog,Cloud,Vehicle,Fog,Cloud
Large,811.097879685689,757.461398897709,686.362415335308,4055.48939842881,1076.10699448885,693.500076676542
Big,207.056231729598,316.295879902051,299.375123709806,1035.28115864653,397.639399510212,301.197218549027
Medium,23.2642117191672,205.404877936672,205.202381265782,116.321058595994,214.544389683589,205.407106328912
Slight,407.217443016607,205.114570296312,167.667078374637,2036.08721508111,365.092851481624,171.250591873191
Small,0.129558549993791,137.852724500418,139.218685028809,0.647792747737085,137.903622502075,139.219825144046
