#Task,Vehicle,Fog,Cloud,Vehicle,Fog,Cloud
Large,4053.11628829565,636.393921171889,249.62005583425,20265.5814414816,2228.68960585887,285.287479171236
Big,58.2524323985707,279.081221039356,276.221755351277,291.26216198965,301.966105195579,276.734376756381
Medium,10.7446165192057,277.77527483683,279.510838156345,53.7230825931886,281.996374184493,279.605390781713
Slight,1.6778848578233,367.764792262685,371.279691346687,8.38942428544315,368.423961313993,371.294456733417
Small,0.006333843355569,148.000622074107,149.480013934458,0.031669223326986,148.003110370136,149.480069672272
