#sim,c1,c2,c3,c4,c5
0,100.0,100.0,100.0,100.0,100.0
1,25.0,25.0,31.0,40.8,24.8
2,32.0,30.0,29.0,29.0,29.0
3,37.7,37.7,27.5,37.7,37.0
4,29.0,28.5,30.0,31.0,28.7
5,30.0,29.8,30.0,30.7,30.0
6,30.0,29.8,30.0,29.8,30.0
7,30.0,29.7,30.0,29.7,30.0
8,30.0,29.0,30.0,29.5,30.0
9,30.0,31.0,30.0,30.8,30.0
10,30.0,30.0,30.4,30.0,30.0
